2023-3-23  19:51:4; VRU; 5397-2050; 161960202; %E000%; 319705
2023-3-26  18:6:18; VRU; 5384-2036; 162102934; %E000%; 320113
2023-3-26  20:36:19; VRU; 5395-2048; 162103466; %E000%; 320115
2023-3-29  19:21:7; VRU; 5408-2103; 162410708; %E000%; 320753
2023-3-30  12:5:45; VRU; 592-1040; 162481525; %E000%; 320958
2023-3-31  16:6:9; VRU; 5586-2345; 162601836; %E000%; 321104
2023-3-31  18:21:6; VRU; 5355-2347; 162612419; %E000%; 321106
2023-4-1  16:35:38; VRU; 5358-1960; 162652185; %E000%; 321278
2023-4-1  16:50:40; VRU; 5356-1956; 162652457; %E000%; 321279
2023-4-1  18:5:48; VRU; 5450-2159; 162652729; %E000%; 321280
2023-4-3  21:5:51; VRU; 606-1057; 162799190; %E000%; 321617
2023-4-3  21:36:8; VRU; 5442-2150; 162799450; %E000%; 321618
2023-4-3  21:36:9; VRU; 5454-2162; 162799755; %E000%; 321619
2023-4-3  21:50:18; VRU; 5470-2182; 162800027; %E000%; 321620
2023-4-4  13:21:3; VRU; 605-1056; 162879290; %E000%; 321851
2023-4-4  13:51:5; VRU; 5591-2351; 162881984; %E000%; 321852
2023-4-4  16:50:51; VRU; 5592-2352; 162900672; %E000%; 321860
2023-4-4  17:5:56; VRU; 5409-2353; 162901264; %E000%; 321861
2023-4-5  8:50:30; VRU; 5387-2039; 162948658; %E000%; 322005
2023-4-6  15:6:13; VRU; 5438-2146; 163084748; %E000%; 322219
2023-4-6  15:35:23; VRU; 5340-2359; 163089331; %E000%; 322225
2023-4-6  15:35:24; VRU; 5340-2358; 163088970; %E000%; 322224
2023-4-6  20:35:35; VRU; 5362-2310; 163100358; %E000%; 322228
2023-4-6  20:35:36; VRU; 604-1055; 163100592; %E000%; 322229
2023-4-6  21:5:36; VRU; 5428-2134; 163100878; %E000%; 322230
2023-4-6  21:20:41; VRU; 5437-2145; 163101257; %E000%; 322232
2023-4-7  10:35:50; VRU; 5490-2204; 163146570; %E000%; 322386
2023-4-7  11:6:7; VRU; 5444-2152; 163147860; %E000%; 322387
2023-4-7  11:50:37; VRU; 5447-2156; 163152459; %E000%; 322388
2023-4-7  16:35:36; VRU; 5392-2382; 163174590; %E000%; 322392
2023-4-9  6:30:27; VRU; 5446-2155; 163236919; %E000%; 322590
2023-4-9  6:30:35; VRU; 5233-1719; 163236342; %E000%; 322588
2023-4-9  6:30:37; VRU; 5241-1738; 163236614; %E000%; 322589
2023-4-9  6:30:38; VRU; 5448-2157; 163237224; %E000%; 322591
2023-4-9  6:30:39; VRU; 597-1046; 163237756; %E000%; 322593
2023-4-9  6:30:40; VRU; 5474-2189; 163237484; %E000%; 322592
2023-4-9  6:30:41; VRU; 5426-2132; 163279844; %E000%; 322744
2023-4-10  10:32:28; VRU; 5591-2383; 163287877; %E000%; 322774
2023-4-10  16:6:38; VRU; 5431-2137; 163329588; %E000%; 322807
2023-4-11  14:5:45; VRU; 5462-2173; 163425010; %E000%; 323003
2023-4-11  14:20:49; VRU; 582-1025; 163426733; %E000%; 323004
2023-4-11  14:20:49; VRU; 582-1026; 163427035; %E000%; 323005
2023-4-11  22:36:3; VRU; 5362-2398; 163460289; %E000%; 323052
