2024-12-6  17:38:51; FSP; 5659903-353178; 205836404; %E000%; 140
2024-12-6  17:38:51; FSP; 5659901-353178; 205836218; %E000%; 138
2024-12-6  17:38:52; FSP; 5659902-353178; 205836311; %E000%; 139
2024-12-6  17:38:54; FSP; 5659904-353178; 205836497; %E000%; 141
2024-12-6  17:53:59; FSP; 567078-353785; 205837114; %E000%; 142
2024-12-6  17:56:14; FSP; 567102-353791; 205837507; %E000%; 143
2024-12-9  16:54:7; FSP; 567162-353818; 205909050; %E000%; 149
2024-12-9  16:54:9; FSP; 567161-353818; 205908732; %E000%; 148
2024-12-9  16:55:9; FSP; 567128-353806; 205908146; %E000%; 144
2024-12-9  16:55:10; FSP; 567129-353806; 205908248; %E000%; 145
2024-12-9  16:55:11; FSP; 567130-353806; 205908350; %E000%; 146
2024-12-9  16:55:11; FSP; 567131-353806; 205908573; %E000%; 147
2024-12-9  16:59:9; FSP; 567381-353967; 205909483; %E000%; 153
2024-12-9  16:59:10; FSP; 567380-353967; 205909381; %E000%; 152
2024-12-9  16:59:11; FSP; 567378-353967; 205909143; %E000%; 150
2024-12-9  16:59:12; FSP; 567379-353967; 205909245; %E000%; 151
2024-12-9  17:8:39; FSP; 566832-353648; 205909805; %E000%; 155
2024-12-9  17:9:8; FSP; 566468-353439; 205909712; %E000%; 154
2024-12-9  17:13:16; FSP; 566905-353698; 205909898; %E000%; 156
2024-12-9  17:24:22; FSP; 5642734-352117; 205910580; %E000%; 158
2024-12-9  17:24:23; FSP; 5642733-352117; 205910487; %E000%; 157
2024-12-9  17:38:32; FSP; 567304-353914; 205912221; %E000%; 159
2024-12-9  17:43:35; FSP; 5667351-353603; 205912321; %E000%; 160
2024-12-9  17:43:36; FSP; 5667352-353603; 205912414; %E000%; 161
2024-12-9  17:43:37; FSP; 5667353-353603; 205912507; %E000%; 162
2024-12-9  17:44:35; FSP; 5667354-353603; 205912600; %E000%; 163
2024-12-10  12:59:10; FSP; 567549-354077; 205940097; %E000%; 164
2024-12-10  17:13:27; FSP; 5652221-352680; 205958669; %E000%; 167
2024-12-10  17:13:28; FSP; 5652222-352680; 205958279; %E000%; 165
2024-12-10  17:13:28; FSP; 5652223-352680; 205958372; %E000%; 166
2024-12-10  17:14:28; FSP; 5652224-352680; 205958762; %E000%; 168
2024-12-11  16:12:6; FSP; 5676163-354108; 206016678; %E000%; 182
2024-12-11  16:12:6; FSP; 5671171-353796; 206015406; %E000%; 172
2024-12-11  16:12:7; FSP; 5674571-354018; 206016052; %E000%; 176
2024-12-11  16:12:7; FSP; 5674572-354018; 206016150; %E000%; 177
2024-12-11  16:12:8; FSP; 5674573-354018; 206016286; %E000%; 178
2024-12-11  16:12:9; FSP; 5674574-354018; 206016384; %E000%; 179
2024-12-11  16:12:9; FSP; 5676161-354108; 206016482; %E000%; 180
2024-12-11  16:12:10; FSP; 5676162-354108; 206016580; %E000%; 181
2024-12-11  16:12:10; FSP; 5676164-354108; 206016776; %E000%; 183
2024-12-11  16:12:11; FSP; 5678321-354251; 206016874; %E000%; 184
2024-12-11  16:12:11; FSP; 5678322-354251; 206016968; %E000%; 185
2024-12-11  16:12:12; FSP; 5678323-354251; 206017062; %E000%; 186
2024-12-11  16:12:13; FSP; 5678324-354251; 206017156; %E000%; 187
2024-12-11  16:12:14; FSP; 5659051-353125; 206014831; %E000%; 169
2024-12-11  16:12:15; FSP; 5659052-353125; 206014924; %E000%; 170
2024-12-11  16:12:15; FSP; 5659053-353125; 206015040; %E000%; 171
2024-12-11  16:12:16; FSP; 5659054-353125; 206017250; %E000%; 188
2024-12-11  16:12:17; FSP; 5674381-354006; 206015539; %E000%; 173
2024-12-11  16:12:18; FSP; 5674382-354006; 206017344; %E000%; 189
2024-12-11  16:12:19; FSP; 5674383-354006; 206015732; %E000%; 174
2024-12-11  16:12:20; FSP; 5674384-354006; 206015920; %E000%; 175
2024-12-11  16:24:9; FSP; 567822-354245; 206017438; %E000%; 190
2024-12-11  16:29:10; FSP; 567956-354328; 206017532; %E000%; 191
2024-12-11  17:18:33; FSP; 568026-354379; 206025872; %E000%; 192
2024-12-11  17:18:34; FSP; 568043-354385; 206025966; %E000%; 193
2024-12-11  18:3:51; FSP; 5676891-354156; 206034107; %E000%; 194
2024-12-11  18:13:57; FSP; 5682641-rp3496361; 206035695; %E000%; 197
2024-12-11  18:14:57; FSP; 5682654-rp3532021; 206036185; %E000%; 202
2024-12-11  18:14:57; FSP; 5682644-rp3496361; 206035793; %E000%; 198
2024-12-11  18:14:58; FSP; 5682631-rp3522471; 206035164; %E000%; 195
