2019-12-14  2:12:40; PPP; 7770-7770; %E000%; 0066662
2019-12-14  2:12:40; PPP; 7772-7772; %E000%; 0066664
2019-12-14  2:12:41; PPP; 7771-7771; %E000%; 0066663
2019-12-14  2:12:42; PPP; 7778-7778; %E000%; 0066666
2019-12-14  2:12:43; PPP; 7779-7779; %E000%; 0066667
2019-12-14  2:12:46; PPP; 7780-7780; %E000%; 0066668
2019-12-14  2:12:48; PPP; 7781-7781; %E000%; 0066669
2019-12-14  2:12:50; PPP; 7782-7782; %E000%; 0066670
2019-12-14  2:12:52; PPP; 7783-7783; %E000%; 0066671
2019-12-14  2:12:54; PPP; 7723-7723; %E000%; 0066620
2019-12-16  2:8:13; PPP; 7590-7590; %E000%; 0067142
2019-12-16  2:8:14; PPP; 7592-7592; %E000%; 0067144
2019-12-16  2:8:14; PPP; 7625-7625; %E000%; 0067145
2019-12-16  2:8:16; PPP; 7628-7628; %E000%; 0067146
2019-12-16  2:8:18; PPP; 7640-7640; %E000%; 0067147
2019-12-16  2:8:26; PPP; 7668-7668; %E000%; 0067148
2019-12-16  2:8:27; PPP; 7688-7688; %E000%; 0067149
2019-12-16  2:8:29; PPP; 7774-7774; %E000%; 0067152
2019-12-16  2:8:31; PPP; 7701-7701; %E000%; 0067150
2019-12-16  2:8:33; PPP; 7776-7776; %E000%; 0067153
2019-12-16  2:8:35; PPP; 7704-7704; %E000%; 0067151
2019-12-16  2:8:37; PPP; 7785-7785; %E000%; 0067154
2019-12-16  2:8:39; PPP; 7786-7786; %E000%; 0067155
2019-12-16  2:8:42; PPP; 7787-7787; %E000%; 0067156
2019-12-16  2:8:44; PPP; 7788-7788; %E000%; 0067157
2019-12-16  2:8:46; PPP; 7790-7790; %E000%; 0067158
2019-12-16  2:8:48; PPP; 7792-7792; %E000%; 0067159
2019-12-16  2:8:50; PPP; 7843-7843; %E000%; 0067200
2019-12-16  2:8:52; PPP; 7793-7793; %E000%; 0067160
2019-12-16  2:8:54; PPP; 7794-7794; %E000%; 0067161
2019-12-16  2:8:56; PPP; 7795-7795; %E000%; 0067162
2019-12-16  2:8:58; PPP; 7796-7796; %E000%; 0067163
2019-12-16  2:9:0; PPP; 7849-7849; %E000%; 0067205
2019-12-16  2:9:2; PPP; 7797-7797; %E000%; 0067164
2019-12-16  2:9:4; PPP; 7798-7798; %E000%; 0067165
2019-12-16  2:9:6; PPP; 7799-7799; %E000%; 0067166
2019-12-16  2:9:9; PPP; 7801-7801; %E000%; 0067167
2019-12-16  2:9:9; PPP; 7856-7856; %E000%; 0067215
2019-12-16  2:9:11; PPP; 7802-7802; %E000%; 0067169
2019-12-16  2:9:13; PPP; 7803-7803; %E000%; 0067170
2019-12-16  2:9:15; PPP; 7805-7805; %E000%; 0067171
2019-12-16  2:9:17; PPP; 7806-7806; %E000%; 0067172
2019-12-16  2:9:19; PPP; 7807-7807; %E000%; 0067173
2019-12-16  2:9:21; PPP; 7848-7848; %E000%; 0067204
2019-12-16  2:9:23; PPP; 7809-7809; %E000%; 0067174
2019-12-16  2:9:25; PPP; 7810-7810; %E000%; 0067175
2019-12-16  2:9:28; PPP; 7811-7811; %E000%; 0067176
2019-12-16  2:9:30; PPP; 7812-7812; %E000%; 0067177
2019-12-16  2:9:32; PPP; 7871-7871; %E000%; 0067227
2019-12-16  2:9:34; PPP; 7813-7813; %E000%; 0067178
2019-12-16  2:9:36; PPP; 7814-7814; %E000%; 0067179
2019-12-16  2:9:38; PPP; 7815-7815; %E000%; 0067180
2019-12-16  2:9:40; PPP; 7817-7817; %E000%; 0067181
2019-12-16  2:9:42; PPP; 7857-7857; %E000%; 0067216
2019-12-16  2:9:44; PPP; 7818-7818; %E000%; 0067182
2019-12-16  2:9:46; PPP; 7819-7819; %E000%; 0067183
2019-12-16  2:9:48; PPP; 7821-7821; %E000%; 0067184
2019-12-16  2:9:50; PPP; 7823-7823; %E000%; 0067185
2019-12-16  2:9:53; PPP; 7865-7865; %E000%; 0067223
2019-12-16  2:9:55; PPP; 7826-7826; %E000%; 0067186
2019-12-16  2:9:57; PPP; 7827-7827; %E000%; 0067187
2019-12-16  2:9:59; PPP; 7828-7828; %E000%; 0067188
2019-12-16  2:10:1; PPP; 7829-7829; %E000%; 0067189
2019-12-16  2:10:3; PPP; 7830-7830; %E000%; 0067190
2019-12-16  2:10:5; PPP; 7831-7831; %E000%; 0067191
2019-12-16  2:10:7; PPP; 7832-7832; %E000%; 0067192
2019-12-16  2:10:9; PPP; 7833-7833; %E000%; 0067193
2019-12-16  2:10:11; PPP; 7834-7834; %E000%; 0067194
2019-12-16  2:10:13; PPP; 7880-7880; %E000%; 0067235
2019-12-16  2:10:15; PPP; 7837-7837; %E000%; 0067195
2019-12-16  2:10:17; PPP; 7838-7838; %E000%; 0067196
2019-12-16  2:10:19; PPP; 7839-7839; %E000%; 0067197
2019-12-16  2:10:22; PPP; 7840-7840; %E000%; 0067198
2019-12-16  2:10:22; PPP; 7850-7850; %E000%; 0067206
2019-12-16  2:10:24; PPP; 7842-7842; %E000%; 0067199
2019-12-16  2:10:26; PPP; 7844-7844; %E000%; 0067201
2019-12-16  2:10:28; PPP; 7845-7845; %E000%; 0067202
2019-12-16  2:10:30; PPP; 7847-7847; %E000%; 0067203
2019-12-16  2:10:32; PPP; 7851-7851; %E000%; 0067208
2019-12-16  2:10:34; PPP; 7878-7878; %E000%; 0067233
2019-12-16  2:10:36; PPP; 7852-7852; %E000%; 0067210
2019-12-16  2:10:38; PPP; 7854-7854; %E000%; 0067212
